label	Bivalent	ConstitutiveHet	Enhancer	FacultativeHet	Promoter	Quiescent	RegPermissive	Transcribed	Unclassified
5_Tx	0.08625	0.03880952380952381	0.13368298368298367	0.4392637844611529	0.10052631578947369	0.05	0.13183176472650157	0.0	0.019635627530364373
6_TxWk	0.06749999999999999	0.13148059542796384	0.13368298368298367	0.18510233918128655	0.10052631578947369	0.13763955342902712	0.16462397251870936	0.01818181818181818	0.06126242178873757
15_EnhBiv	0.19016304347826085	0.041878787878787876	0.0	0.37792786561264824	0.07321739130434783	0.06666666666666667	0.050782608695652175	0.11033333333333335	0.08903030303030303
16_ReprPC	0.19016304347826085	0.041878787878787876	0.0	0.37792786561264824	0.07321739130434783	0.06666666666666667	0.050782608695652175	0.11033333333333335	0.08903030303030303
10_EnhA2	0.0	0.04608695652173913	0.0	0.1294925629290618	0.015789473684210527	0.3887075569358178	0.18155892448512584	0.12357142857142858	0.11479309687261634
14_TssBiv	0.0	0.04694431731502669	0.0	0.025	0.15046739130434783	0.12181540808543098	0.0658659420289855	0.40878310225692116	0.1811238390092879
17_ReprPCWk	0.0	0.127234262125903	0.0	0.14736536994660565	0.015789473684210527	0.43740169477401947	0.06583849329205367	0.10357142857142858	0.10279927760577916
1_TssA	0.16599637681159418	0.09122222222222223	0.0	0.2157814009661836	0.0798840579710145	0.04883040935672515	0.05911594202898551	0.251561403508772	0.08760818713450293
3_TssFlnkU	0.16599637681159418	0.044	0.0	0.22967028985507243	0.0798840579710145	0.08771929824561403	0.05911594202898551	0.251561403508772	0.08205263157894736
4_TssFlnkD	0.16599637681159418	0.044	0.0	0.22967028985507243	0.0798840579710145	0.08771929824561403	0.05911594202898551	0.251561403508772	0.08205263157894736
11_EnhWk	0.0	0.09638409322539085	0.014285714285714285	0.043142857142857136	0.004	0.13683560563813627	0.08988235294117648	0.3851600740982892	0.2303093026684358
12_ZNF/Rpts	0.004545454545454545	0.2195367574947599	0.047843137254901955	0.07444748234221918	0.0	0.12470277355793576	0.25337053006221133	0.015789473684210527	0.2597643910583068
7_EnhG1	0.07242424242424242	0.08685714285714287	0.14796869796869797	0.20385281385281387	0.05994896331738438	0.06666666666666667	0.15257817620975517	0.12461904761904763	0.08508424908424908
8_EnhG2	0.13627039627039625	0.07971428571428572	0.0748917748917749	0.13856709956709953	0.0754874248558459	0.06666666666666667	0.2225452091767881	0.12461904761904763	0.08123809523809523
2_TssFlnk	0.15266304347826085	0.08455555555555556	0.0	0.24244806763285026	0.07321739130434783	0.04883040935672515	0.05911594202898551	0.251561403508772	0.08760818713450293
13_Het	0.0	0.07376984126984126	0.07888888888888888	0.073015873015873	0.04166666666666667	0.37926069703243614	0.04111111111111111	0.16470238095238093	0.14758454106280192
9_EnhA1	0.0	0.07314578005115088	0.0	0.1294925629290618	0.015789473684210527	0.3212565765436609	0.18744127742630234	0.11690476190476191	0.15596956746085164
18_Quies	0.0	0.035263157894736843	0.0	0.09824256292906178	0.015789473684210527	0.6351921107115615	0.05052631578947368	0.11023809523809525	0.05474828375286041
